TIME,C_pos,C_neu,C_neg
0,117,42,19
1,1325,463,279
2,2728,840,498
3,4046,1199,723
4,5078,1445,909
5,5795,1629,1021
6,6335,1763,1090
7,6847,1865,1153
8,7309,1954,1213
9,7862,2108,1301
10,8206,2178,1346
11,8503,2243,1385
12,8750,2301,1421
13,8984,2357,1452
14,9217,2406,1476
15,9430,2461,1505
16,9622,2506,1535
17,9781,2550,1555
18,9911,2569,1572
19,9975,2583,1583
20,10017,2590,1585
21,10044,2596,1593
22,10066,2599,1596
23,10093,2602,1598
24,10116,2608,1607
25,10130,2610,1608
26,10149,2617,1612
27,10162,2620,1612
28,10169,2621,1612
29,10177,2624,1612
30,10189,2626,1616
31,10203,2627,1619
32,10217,2630,1621
33,10228,2631,1621
34,10239,2634,1623
35,10257,2636,1624
36,10276,2638,1630
37,10281,2642,1630
38,10283,2643,1630
39,10288,2644,1630
40,10288,2644,1630
41,10290,2644,1631
42,10291,2644,1631
43,10293,2644,1633
44,10296,2644,1634
45,10300,2644,1634
46,10304,2644,1635
47,10306,2644,1635
48,10307,2644,1635
49,10309,2646,1635
50,10311,2646,1635
51,10311,2647,1635
52,10312,2647,1636
53,10313,2648,1636
54,10316,2649,1636
55,10317,2649,1636
56,10320,2650,1636
57,10325,2651,1636
58,10328,2651,1636
59,10329,2651,1636
60,10332,2652,1637
61,10334,2652,1637
62,10335,2652,1637
63,10337,2653,1637
64,10337,2653,1637
65,10341,2653,1637
66,10341,2653,1637
